,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type
48,"(53.484565, 18.749115)","(53.484677, 18.749618)",25.7,137.0,5.330739299610895,25,25,0.0,0.0,0.0,0,0,0
49,"(53.484677, 18.749618)","(53.484163, 18.750389)",21.9,103.6,4.730593607305936,25,23,-0.0193050193050193,-1.9305019305019304,-0.0193026216186832,0,0,1
50,"(53.484163, 18.750389)","(53.48445734007539, 18.750175706294737)",34.6,144.2,4.167630057803468,23,25,0.0138696255201109,1.3869625520110958,0.0138687362722506,0,0,0
51,"(53.48445734007539, 18.750175706294737)","(53.484163, 18.750389)",34.6,144.2,4.167630057803468,25,23,-0.0138696255201109,-1.3869625520110958,-0.0138687362722506,1,0,0
52,"(53.484163, 18.750389)","(53.483915, 18.752772)",27.7,196.2,7.083032490974729,23,22,-0.0050968399592252,-0.509683995922528,-0.0050967958250549,0,0,0
53,"(53.483915, 18.752772)","(53.486552788049146, 18.755161643371487)",45.5,406.9,8.942857142857143,22,22,0.0,0.0,0.0,0,0,1
54,"(53.486552788049146, 18.755161643371487)","(53.488807519157966, 18.751947180215392)",43.9,451.7,10.289293849658314,22,23,0.0022138587558113,0.2213858755811379,0.0022138551389888,1,0,0
55,"(53.488807519157966, 18.751947180215392)","(53.49151389579054, 18.75344649160273)",40.6,370.2,9.11822660098522,23,27,0.0108049702863317,1.0804970286331712,0.0108045498317824,1,0,0
56,"(53.49151389579054, 18.75344649160273)","(53.49321613006566, 18.757984523361912)",56.1,502.4,8.955436720142602,27,24,-0.0059713375796178,-0.5971337579617835,-0.0059712666080619,1,0,0
57,"(53.49321613006566, 18.757984523361912)","(53.492558525875445, 18.761132600486793)",33.5,290.0,8.656716417910447,24,23,-0.0034482758620689,-0.3448275862068966,-0.0034482621948027,1,0,0
58,"(53.492558525875445, 18.761132600486793)","(53.49469677139516, 18.76758424233806)",46.3,515.4,11.131749460043196,23,22,-0.0019402405898331,-0.1940240589833139,-0.0019402381551383,1,0,0
59,"(53.49469677139516, 18.76758424233806)","(53.495012, 18.770664)",20.7,207.0,10.0,22,22,0.0,0.0,0.0,1,0,0
60,"(53.495012, 18.770664)","(53.49578572718109, 18.773695751251054)",19.8,220.5,11.136363636363637,22,21,-0.0045351473922902,-0.4535147392290249,-0.0045351163003657,0,0,0
61,"(53.49578572718109, 18.773695751251054)","(53.496692, 18.77842)",29.8,329.5,11.057046979865772,21,22,0.0030349013657056,0.3034901365705614,0.0030348920479763,1,0,0
62,"(53.496692, 18.77842)","(53.49752646120528, 18.778303256530293)",43.1,116.5,2.703016241299304,22,22,0.0,0.0,0.0,0,0,0
63,"(53.49752646120528, 18.778303256530293)","(53.500904, 18.776261)",50.6,411.6,8.134387351778656,22,26,0.0097181729834791,0.9718172983479106,0.0097178670633792,1,0,0
64,"(53.500904, 18.776261)","(53.50167389110827, 18.775986619308448)",23.9,109.2,4.569037656903766,26,29,0.0274725274725274,2.7472527472527477,0.0274656190643717,0,0,0
65,"(53.50167389110827, 18.775986619308448)","(53.50443072347926, 18.775152184674265)",46.3,339.8,7.339092872570195,29,37,0.0235432607416127,2.3543260741612717,0.0235389122946038,1,0,0
